Name,NRIC,Age,Marital Status,Password,Type
Applicant1,T3456789A,36,SINGLE,password,Applicant
David,T1234567J,29,Married,password,Officer
Sarah,T7654321B,40,MARRIED,password,Applicant
Daniel,T2109876H,36,SINGLE,password,Officer
Manager1,S5678901G,26,Married,password,Manager
Officer1,S3456789B,30,MARRIED,password,Officer
Charlene,S3456789A,38,SINGLE,password,Manager
James,T2345678D,30,MARRIED,password,Applicant
Kiara,S6543269X,28,SINGLE,password,Officer
Michael,T8765432F,36,Single,password,Manager
Rachel,S3456789E,25,Single,password,Applicant
Emily,S6543210I,28,Single,password,Officer
ExampleManager,T1234567X,100,SINGLE,password,Manager
Grace,S9876543C,37,MARRIED,password,Applicant
John,S1234567A,35,SINGLE,password,Applicant
